Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6etwirSInfuJrSOlogS6Sh,"American Boy","Shine","Estelle;Kanye West",2008-03-28,284733,85,true,julianchy,2026-02-22T22:38:53Z,"rap","Round Hill Records",0.693,0.729,0,-2.99,1,0.378,0.171,0,0.07,0.521,117.848,4
spotify:track:73scB4Q4fcOmnsBVZPmk32,"Si Antes Te Hubiera Conocido","Tropicoqueta","KAROL G",2025-06-20,195824,87,false,julianchy,2026-02-22T22:38:55Z,"reggaeton,latin,urbano latino","Bichota/Interscope Records",0.916,0.625,11,-8.379,1,0.0481,0.449,0.000226,0.0749,0.761,128.033,4
spotify:track:2gam98EZKrF9XuOkU13ApN,"Promiscuous","Loose","Nelly Furtado;Timbaland",2006-01-01,242293,89,false,julianchy,2026-02-22T22:38:58Z,"","Mosley / Geffen",0.808,0.97,10,-6.098,0,0.0504,0.0573,0.0000617,0.154,0.868,114.328,4
spotify:track:7iQXYTyuG13aoeHxGG28Nh,"PERRO NEGRO","nadie sabe lo que va a pasar mañana","Bad Bunny;Feid",2023-10-13,162767,83,true,julianchy,2026-02-22T22:39:03Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.911,0.778,5,-2.248,1,0.262,0.0887,0.0000216,0.179,0.345,96.057,4
spotify:track:0I3q5fE6wg7LIfHGngUTnV,"Ms. Jackson","Stankonia","Outkast",2000-10-31,270506,85,true,julianchy,2026-02-22T22:39:09Z,"southern hip hop,hip hop","Arista/LaFace Records",0.843,0.806,4,-5.946,0,0.269,0.143,0,0.0771,0.613,94.948,4
spotify:track:2qOm7ukLyHUXWyR4ZWLwxA,"It Was A Good Day","The Predator","Ice Cube",1992-11-17,260000,81,true,julianchy,2026-02-22T22:39:11Z,"old school hip hop,gangster rap,west coast hip hop,g-funk,hip hop","Priority Records",0.798,0.744,7,-5.328,0,0.136,0.33,0.000106,0.292,0.794,82.356,4
spotify:track:3G0yz3DZn3lfraledmBCT0,"P.I.M.P.","Get Rich Or Die Tryin'","50 Cent",2003-02-06,249480,81,true,julianchy,2026-02-22T22:39:14Z,"old school hip hop,east coast hip hop","Shady Records",0.712,0.772,10,-3.024,0,0.346,0.0521,0.00000435,0.0368,0.848,84.722,4
spotify:track:5Tbpp3OLLClPJF8t1DmrFD,"Nuthin' But A ""G"" Thang","The Chronic","Dr. Dre;Snoop Dogg",1992-12-15,237573,79,true,julianchy,2026-02-22T22:39:15Z,"old school hip hop,g-funk,gangster rap,west coast hip hop,hip hop,rap","ARY, Inc. under exclusive license to Interscope Records",0.669,0.821,11,-4.37,0,0.29,0.00182,0,0.147,0.684,94.895,4
spotify:track:7KwZNVEaqikRSBSpyhXK2j,"Hypnotize - 2014 Remaster","Life After Death (2014 Remastered Edition)","The Notorious B.I.G.",1997-03-04,229826,84,true,julianchy,2026-02-22T22:39:16Z,"old school hip hop,gangster rap,east coast hip hop,hip hop","Rhino Atlantic",0.901,0.697,9,-3.439,1,0.28,0.145,0,0.287,0.67,93.941,4
spotify:track:2WTvFsgi4XoZEGE8hMTty5,"I Know What You Want (feat. Flipmode Squad)","It Ain't Safe No More. . .","Busta Rhymes;Mariah Carey;Flipmode Squad",2002-01-01,324306,65,true,julianchy,2026-02-22T22:39:20Z,"east coast hip hop,christmas","J Records",0.648,0.759,6,-4.315,1,0.306,0.0142,0,0.648,0.518,85.996,4
spotify:track:2wGSgTmgSF3xjRrHkTc25R,"Hate It Or Love It","The Documentary","The Game;50 Cent",2005,206400,84,true,julianchy,2026-02-22T22:39:24Z,"west coast hip hop,old school hip hop,gangster rap,hip hop,east coast hip hop","Geffen",0.802,0.785,9,-4.781,1,0.207,0.14,0,0.123,0.435,99.998,4
spotify:track:0ARK753YaiJbpLUk7z5yIM,"Dilemma","Nellyville","Nelly;Kelly Rowland",2002-06-25,289160,83,true,julianchy,2026-02-22T22:39:25Z,"","Motown",0.727,0.552,2,-8.074,0,0.14,0.226,0.00016,0.198,0.607,168.19,4
spotify:track:4YA5g2UpNLmdql8fdrhlwY,"Let Me Blow Ya Mind","Scorpion","Eve;Gwen Stefani",2001-02-25,230106,75,true,julianchy,2026-02-22T22:39:26Z,"","Ruff Ryders RECORDS",0.905,0.544,8,-4.354,0,0.117,0.258,0,0.0618,0.882,90.026,4
spotify:track:2mKouqwAIdQnMP43zxR89r,"What's Luv? (feat. Ja-Rule & Ashanti)","Jealous Ones Still Envy (J.O.S.E)","Fat Joe;Ja Rule;Ashanti",2001-12-04,267093,78,true,julianchy,2026-02-22T22:39:27Z,"east coast hip hop,r&b","RT Industries",0.835,0.707,8,-5.074,1,0.0598,0.0219,0.0000219,0.108,0.919,93.955,4
spotify:track:7FrJV8tydWEv1Mxu2mIQrm,"Beautiful","Paid Tha Cost To Be Da Bo$$","Snoop Dogg;Pharrell Williams;Charlie Wilson",2002-01-01,298306,75,true,julianchy,2026-02-22T22:39:31Z,"g-funk,west coast hip hop,gangster rap,old school hip hop,hip hop,rap,sexy drill","Parlophone",0.907,0.695,11,-6.268,0,0.135,0.246,0,0.0808,0.961,101.007,4
spotify:track:4VQNCzfZ3MdHEwwErNXpBo,"All Eyez On Me (ft. Big Syke)","All Eyez On Me","2Pac;Big Syke",1996-02-13,307773,81,true,julianchy,2026-02-22T22:39:35Z,"old school hip hop,gangster rap,west coast hip hop,g-funk,hip hop","Amaru Entertainment, Inc./Interscope Records",0.872,0.723,1,-5.968,1,0.247,0.0293,0,0.327,0.843,93.279,4
spotify:track:6LwrEZNkvFTOypNwSLjuaJ,"2 Of Amerikaz Most Wanted (ft. Snoop Doggy Dogg)","All Eyez On Me","2Pac;Snoop Dogg",1996-02-13,246533,75,true,julianchy,2026-02-22T22:39:40Z,"old school hip hop,gangster rap,west coast hip hop,g-funk,hip hop,rap","Amaru Entertainment, Inc./Interscope Records",0.849,0.904,8,-4.78,1,0.138,0.0248,0.0000511,0.0545,0.854,99.258,4
spotify:track:503OTo2dSqe7qk76rgsbep,"Still D.R.E.","2001","Dr. Dre;Snoop Dogg",1999-11-16,270586,85,true,julianchy,2026-02-22T22:39:42Z,"old school hip hop,g-funk,gangster rap,west coast hip hop,hip hop,rap","Aftermath",0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431,4
spotify:track:4LwU4Vp6od3Sb08CsP99GC,"The Next Episode","2001","Dr. Dre;Snoop Dogg",1999-11-16,161506,82,true,julianchy,2026-02-22T22:39:46Z,"old school hip hop,g-funk,gangster rap,west coast hip hop,hip hop,rap","Aftermath",0.922,0.909,10,-2.429,0,0.27,0.0281,0,0.0856,0.309,95.295,4
